Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	75	13	10	7	8	24	13	17	31	7	17	10	7	5	6	19	12	8	9	8	10	15	22	4	23	8	22	9	25	3	5	16	19	19	18	10	18	6	4	6	5	4	4	
(null)	76	13	10	2	6	8	4	22	12	11	10	7	12	11	13	12	12	17	11	19	22	8	26	20	10	14	21	3	3	13	6	22	16	11	24	22	12	10	14	9	5	1	0	
(null)	77	12	9	8	13	17	17	8	18	18	7	15	13	15	6	14	13	9	21	6	8	13	12	4	10	11	13	10	18	16	12	13	11	21	13	12	11	16	5	11	13	8	4	
(null)	78	10	10	8	20	10	15	14	12	21	6	12	14	8	8	9	9	13	11	6	11	16	12	10	13	7	16	11	12	12	12	14	15	15	13	8	15	17	14	17	10	9	8	
(null)	79	16	10	8	10	7	8	12	11	10	18	14	9	7	12	9	24	16	8	6	6	12	11	11	13	6	11	16	7	14	13	16	14	14	10	12	20	16	13	20	13	10	9	
(null)	80	13	16	9	6	12	12	10	12	14	7	9	10	13	14	14	17	17	16	13	18	7	11	13	10	16	9	9	8	16	9	15	15	14	9	10	13	14	15	13	13	3	3	
(null)	81	14	9	10	7	11	12	8	9	13	11	10	12	12	11	8	10	11	9	9	10	8	13	12	11	10	13	12	11	13	15	11	10	12	13	10	14	20	16	22	9	12	23	
(null)	82	7	5	11	6	10	0	13	19	13	12	12	8	14	11	20	18	12	9	20	13	9	11	22	12	15	11	12	7	13	13	18	11	16	18	13	17	11	12	9	7	0	1	
(null)	83	24	11	9	10	7	8	14	12	17	9	10	9	7	9	10	10	6	8	8	7	7	14	8	11	12	11	9	8	14	9	14	9	9	10	9	12	31	20	33	10	13	13	
(null)	84	15	14	10	7	12	11	13	9	7	14	12	9	6	9	10	15	17	14	10	13	11	15	11	9	13	12	10	9	8	11	11	12	7	14	14	9	20	15	18	11	14	6	
(null)	85	21	1	12	1	0	0	2	9	15	10	7	4	17	11	86	23	6	0	5	12	1	5	10	7	39	27	22	4	34	14	1	1	28	14	12	24	0	0	0	0	0	0	
(null)	86	9	5	10	20	6	12	9	13	27	10	9	19	9	23	9	9	9	6	8	9	22	7	10	21	11	12	14	7	24	5	11	10	23	12	12	10	4	9	4	17	5	4	
(null)	87	15	15	10	22	13	13	13	11	8	10	11	9	13	8	12	14	16	9	16	11	19	12	17	11	14	12	10	5	8	12	15	10	9	12	13	11	9	10	8	11	6	1	
(null)	88	8	13	7	12	10	13	14	10	9	9	15	6	6	12	12	16	10	15	13	10	7	11	8	20	18	25	6	21	12	7	18	14	10	9	9	14	12	7	12	8	8	7	
(null)	89	15	5	9	10	7	9	4	15	4	12	5	4	20	5	21	23	16	14	16	14	15	4	21	6	23	11	12	21	5	10	16	15	8	12	9	14	16	13	13	9	1	0	
(null)	90	64	0	0	0	0	0	4	1	0	0	6	0	9	0	20	27	15	12	21	27	0	4	40	0	20	22	0	88	0	0	26	23	0	6	6	7	3	28	3	0	0	0	
(null)	91	10	11	10	10	13	15	10	15	14	13	12	10	11	10	10	11	11	12	11	12	9	12	12	11	12	12	10	13	14	13	10	10	13	13	9	9	13	11	13	12	12	8	
(null)	92	18	5	6	13	2	0	7	17	13	8	17	12	16	12	11	18	13	14	14	15	11	21	14	10	14	20	9	6	13	11	13	12	11	21	21	15	4	11	8	5	0	0	
(null)	93	22	12	11	15	10	8	7	16	6	9	15	7	4	8	9	17	10	10	8	9	7	9	12	7	9	6	10	7	7	12	15	10	6	11	14	17	23	21	27	6	18	12	
(null)	94	15	12	17	18	12	13	13	15	12	10	13	10	8	9	18	14	9	12	16	12	15	14	13	12	7	13	14	12	14	11	12	10	11	11	12	9	5	6	5	11	2	2	
(null)	95	15	15	6	11	13	14	11	14	16	9	11	12	9	13	14	11	13	13	7	13	13	14	9	9	8	16	9	9	13	13	16	13	10	11	9	9	13	8	12	9	8	7	
(null)	96	21	10	11	5	14	12	13	6	7	6	9	11	10	7	8	11	13	11	13	13	4	12	11	7	11	20	13	15	14	10	9	13	10	12	16	13	17	14	15	9	10	12	
(null)	97	19	10	13	4	9	5	8	6	14	18	15	12	3	13	6	4	9	1	11	12	11	7	6	8	5	8	10	5	8	9	6	11	7	3	8	7	44	31	44	10	23	14	
(null)	98	18	10	13	11	9	10	13	9	4	7	16	3	12	8	12	11	12	10	21	13	13	13	23	6	12	15	8	6	5	8	23	15	5	17	16	13	19	16	16	4	0	1	
(null)	99	17	9	13	7	11	14	10	9	7	16	8	10	5	14	6	11	13	9	11	10	8	9	14	17	14	9	12	9	11	12	10	11	6	14	12	9	20	16	16	8	13	16	
(null)	100	10	11	11	8	9	10	10	13	8	16	11	11	5	9	12	13	9	12	10	14	11	11	16	9	11	11	12	9	13	14	10	12	14	11	13	7	12	16	13	11	13	12	
(null)	101	13	10	11	12	12	10	15	9	9	12	14	12	2	10	11	12	12	10	10	12	9	13	11	10	9	15	10	14	9	13	12	13	11	9	12	14	12	11	13	12	11	11	
